group_id,supplement_id,name,event_type,event_date,event_year,event_year_start,event_year_end,place,country,record_ids,record_sets,source_urls,integration_outcome,profile_id,creation_status,handoff_path,decision_basis
fmp-glasgow-c608ee62fa8a,fmp-glasgow-c608ee62fa8a,William Glasgow,baptism,,1614,1614,1614,Inveresk with Musselburgh,Scotland,R_686177762 | R_693575447,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_686177762&tab=this | https://www.findmypast.co.uk/transcript?id=R_693575447&tab=this,existing_profile,Glasgow-3517,,,human_override
fmp-glasgow-f8bbedf29384,fmp-glasgow-f8bbedf29384,Edward Glasgow,baptism,,1615,1615,1615,Inveresk with Musselburgh,Scotland,R_686177760 | R_693575446,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_686177760 | https://www.findmypast.co.uk/transcript?id=R_693575446&tab=this,existing_profile,Glasgow-1558,,,human_override
fmp-glasgow-b9c5535df816,fmp-glasgow-b9c5535df816,Jonat Glasgow,baptism,18 May 1615,1615,1615,1615,Glasgow,Scotland,R_693716583,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_693716583&tab=this,existing_profile,Glasgow-1080,,,human_override
fmp-glasgow-ef230e20e0e0,fmp-glasgow-ef230e20e0e0,Barbara Glasgow,marriage,21 Nov 1616,1616,1616,1616,Edinburgh,Scotland,R_695875833/2,"Scotland, Parish Marriages & Banns 1561-1893",https://www.findmypast.co.uk/transcript?id=R_695875833%2F2&tab=this,existing_profile,Glasgow-3302,,,human_override
fmp-glasgow-e36059d2d68b,fmp-glasgow-e36059d2d68b,Elizabeth Glasgow,baptism,15 Dec 1616,1616,1616,1616,Glasgow,Scotland,R_693715957,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_693715957&tab=this,existing_profile,Glasgow-1091,,,human_override
fmp-glasgow-155c74c6dd03,fmp-glasgow-155c74c6dd03,John Glasgow,baptism,10 ? 1616,1616,1616,1616,Midcalder,Scotland,SCOT/OPR/BAP/4585960,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=SCOT%2FOPR%2FBAP%2F4585960&tab=this,existing_profile,Glasgow-1084,,,human_override
fmp-glasgow-580b6ddab10a,fmp-glasgow-580b6ddab10a,John Glasgow,baptism,18 Feb 1616,1616,1616,1616,Mid Calder,Scotland,R_686309696 | R_694113518,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_686309696&tab=this | https://www.findmypast.co.uk/transcript?id=R_694113518&tab=this,existing_profile,Glasgow-1084,,,human_override
fmp-glasgow-a75d38f2639c,fmp-glasgow-a75d38f2639c,Barbara Glasgow,baptism,21 Oct 1617,1617,1617,1617,Glasgow,Scotland,R_693716837,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_693716837&tab=this,existing_profile,Glasgow-1102,,,human_override
fmp-glasgow-4938dce42a86,fmp-glasgow-4938dce42a86,Agnes Glasgow,baptism,,1618,1618,1618,Inveresk with Musselburgh,Scotland,R_686182151 | R_693571192,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_686182151&tab=this | https://www.findmypast.co.uk/transcript?id=R_693571192,existing_profile,Glasgow-993,,,human_override
fmp-glasgow-e63d7cbe8e87,fmp-glasgow-e63d7cbe8e87,John Glasgow,marriage,25 Jan 1618,1618,1618,1618,Glasgow,Scotland,R_694496543/1,"Scotland, Parish Marriages & Banns 1561-1893",https://www.findmypast.co.uk/transcript?id=R_694496543%2F1&tab=this,existing_profile,Glasgow-1030,,,human_override
fmp-glasgow-7ed3915647bd,fmp-glasgow-7ed3915647bd,Rot. Glasgow,baptism,17 Nov 1618,1618,1618,1618,Glasgow,Scotland,R_693723911,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_693723911&tab=this,existing_profile,Glasgow-1078,,,human_override
fmp-glasgow-27ad044d0e56,fmp-glasgow-27ad044d0e56,Issobell Glasgow,marriage,10 Jun 1619,1619,1619,1619,Edinburgh,Scotland,R_695879939/2,"Scotland, Parish Marriages & Banns 1561-1893",https://www.findmypast.co.uk/transcript?id=R_695879939%2F2&tab=this,existing_profile,Glasgow-3336,,,human_override
fmp-glasgow-a87ffaafd6d6,fmp-glasgow-a87ffaafd6d6,John Glasgow,baptism,13 May 1619,1619,1619,1619,Glasgow,Scotland,R_693723673,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_693723673&tab=this,existing_profile,Glasgow-1088,,,human_override
fmp-glasgow-46c4603788e4,fmp-glasgow-46c4603788e4,James Glasgow,baptism,,1626,1626,1626,Inveresk with Musselburgh,Scotland,R_686178012 | R_693575866,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_686178012&tab=this | https://www.findmypast.co.uk/transcript?id=R_693575866&tab=this,existing_profile,Glasgow-3923,,,human_override
fmp-glasgow-cd4d475c488d,fmp-glasgow-cd4d475c488d,Robert Glasgow,baptism,,1627,1627,1627,Inveresk with Musselburgh,Scotland,R_686174386 | R_693576269,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_686174386&tab=this | https://www.findmypast.co.uk/transcript?id=R_693576269&tab=this,existing_profile,Glasgow-1149,,,human_override
fmp-glasgow-5bd8a860759f,fmp-glasgow-5bd8a860759f,Agnes Glasgow,testament/probate,4 Mar 1628,1628,1628,1628,Stevenston,Scotland,SCOT/WILLS/057424,"Scotland, Will And Testament Index 1481-1807",https://www.findmypast.co.uk/transcript?id=SCOT%2FWILLS%2F057424&tab=this,existing_profile,Glasgow-3178,,,human_override
fmp-glasgow-aa025b7f9070,fmp-glasgow-aa025b7f9070,Marion Glasgow,baptism,17 Mar 1630,1630,1630,1630,Inveresk,Scotland,SCOT/OPR/BAP/4435828,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=SCOT%2FOPR%2FBAP%2F4435828&tab=this,existing_profile,Glasgow-1429,,,human_override
fmp-glasgow-12600707e614,fmp-glasgow-12600707e614,Marioune Glasgow,baptism,,1630,1630,1630,Inveresk with Musselburgh,Scotland,R_686179254 | R_693569752,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=R_686179254&tab=this | https://www.findmypast.co.uk/transcript?id=R_693569752&tab=this,existing_profile,Glasgow-1429,,,human_override
fmp-glasgow-e68eb8704ba2,fmp-glasgow-e68eb8704ba2,Archibald Glasgow,apprenticeship,23 Oct 1639,1639,1639,1639,Edinburgh,Scotland,SCOT/EDINBURGH/APPRENTICES/0005158/1,"Scotland, Edinburgh Apprentices 1583-1800",https://www.findmypast.co.uk/transcript?id=SCOT%2FEDINBURGH%2FAPPRENTICES%2F0005158%2F1&tab=this,existing_profile,Glasgow-3078,,,human_override
fmp-glasgow-1eebe322b8b9,fmp-glasgow-1eebe322b8b9,William Glasgow,baptism,21 Aug 1639,1639,1639,1639,Inveresk,Scotland,SCOT/OPR/BAP/4437421,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=SCOT%2FOPR%2FBAP%2F4437421&tab=this,existing_profile,Glasgow-2462,,,human_override
fmp-glasgow-de4f42f994eb,fmp-glasgow-de4f42f994eb,Jannet Glasgow,baptism,,1640,1640,1640,Linlithgow,Scotland,SCOT/OPR/BAP/0497603,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=SCOT%2FOPR%2FBAP%2F0497603&tab=this,existing_profile,Glasgow-1104,,,human_override
fmp-glasgow-3f34f6d0bdd6,fmp-glasgow-3f34f6d0bdd6,James Glasgow,apprenticeship,16 Jun 1641,1641,1641,1641,Edinburgh,Scotland,SCOT/EDINBURGH/APPRENTICES/0005160/1,"Scotland, Edinburgh Apprentices 1583-1800",https://www.findmypast.co.uk/transcript?id=SCOT%2FEDINBURGH%2FAPPRENTICES%2F0005160%2F1&tab=this,existing_profile,Glasgow-1150,,,human_override
fmp-glasgow-95906c2e4088,fmp-glasgow-95906c2e4088,John Glasgow,baptism,,1644,1644,1644,Linlithgow,Scotland,SCOT/OPR/BAP/0497604,"Scotland, Parish Births & Baptisms 1564-1929",https://www.findmypast.co.uk/transcript?id=SCOT%2FOPR%2FBAP%2F0497604&tab=this,existing_profile,Glasgow-1105,,,human_override
fmp-glasgow-7fc6bb781027,fmp-glasgow-7fc6bb781027,James Glasgow,burgess admission,20 Jun 1649,1649,1649,1649,Edinburgh,Scotland,SCOT/BURGESS/1009523,"Scotland, Burgess & Guild Brethren Index",https://www.findmypast.co.uk/transcript?id=SCOT%2FBURGESS%2F1009523&tab=this,existing_profile,Glasgow-1150,,,human_override
